2013-09-23 08:35:56 +0200 :: started
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created position
2013-09-23 08:35:56 +0200 :: created world
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: increased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
2013-09-23 08:35:57 +0200 :: decreased temperature
